2026-04-02 19:45:09 | INFO | src.feature_engineer:calculate_technical_indicators:136 | 计算了 34 个技术指标
2026-04-02 19:45:09 | INFO | src.feature_engineer:calculate_statistical_features:181 | 统计特征计算完成
2026-04-02 19:45:09 | INFO | src.feature_engineer:calculate_time_features:222 | 时间特征计算完成
2026-04-02 19:45:09 | INFO | src.feature_engineer:calculate_lag_features:257 | 计算了滞后特征: 5 列 × 5 期
2026-04-02 19:45:09 | INFO | src.feature_engineer:calculate_target_variables:297 | 目标变量计算完成
2026-04-02 19:45:09 | INFO | src.feature_engineer:create_feature_matrix:345 | 特征矩阵创建完成 - 总特征数: 110
2026-04-02 19:45:09 | INFO | src.feature_engineer:select_features:390 | 移除常数特征: 8 个
2026-04-02 19:45:09 | INFO | src.feature_engineer:select_features:407 | 特征选择完成 - 选择了 30 个特征
2026-04-02 19:45:09 | INFO | __main__:collect_and_prepare_data:242 | Local dataset preparation complete - 70406 raw rows, 30 selected features
2026-04-02 19:45:12 | INFO | __main__:train_models:255 | Starting AI model training...
2026-04-02 19:45:12 | INFO | src.ai_models:train_ensemble_models:303 | 开始训练集成模型...
2026-04-02 19:45:12 | INFO | src.ai_models:prepare_training_data:186 | 训练数据准备完成 - 训练集: 56275, 测试集: 14069
2026-04-02 19:45:12 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: random_forest
2026-04-02 19:45:23 | INFO | src.ai_models:train_single_model:281 | 模型 random_forest 训练完成 - 测试准确率: 0.5074987561304997
2026-04-02 19:45:23 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: xgboost
2026-04-02 19:45:23 | INFO | src.ai_models:train_single_model:281 | 模型 xgboost 训练完成 - 测试准确率: 0.5069301300732106
2026-04-02 19:45:23 | INFO | src.ai_models:train_single_model:217 | 开始训练模型: logistic_regression
2026-04-02 19:45:23 | INFO | src.ai_models:train_single_model:281 | 模型 logistic_regression 训练完成 - 测试准确率: 0.5169521643329306
2026-04-02 19:45:23 | INFO | src.ai_models:train_ensemble_models:341 | 集成模型训练完成 - 成功训练 3 个模型
2026-04-02 19:45:23 | INFO | src.ai_models:save_models:501 | 模型已保存至: models/ai_models_20260402_194523.joblib
2026-04-02 19:45:23 | INFO | __main__:train_models:273 | === Model Training Results ===
2026-04-02 19:45:23 | INFO | __main__:train_models:276 | random_forest: test accuracy = 0.5075
2026-04-02 19:45:23 | INFO | __main__:train_models:276 | xgboost: test accuracy = 0.5069
2026-04-02 19:45:23 | INFO | __main__:train_models:276 | logistic_regression: test accuracy = 0.5170
2026-04-02 19:46:00 | INFO | __main__:run_backtest:282 | Starting professional backtest...
2026-04-02 19:46:00 | INFO | src.backtester:run_backtest:315 | 开始运行回测...
2026-04-02 19:46:00 | INFO | src.backtester:reset:96 | Backtester state reset
2026-04-02 19:46:00 | INFO | src.feature_engineer:create_feature_matrix:316 | 开始创建特征矩阵...
2026-04-02 19:46:00 | INFO | src.feature_engineer:calculate_technical_indicators:136 | 计算了 0 个技术指标
2026-04-02 19:46:00 | INFO | src.feature_engineer:calculate_statistical_features:181 | 统计特征计算完成
2026-04-02 19:46:00 | INFO | src.feature_engineer:calculate_time_features:222 | 时间特征计算完成
2026-04-02 19:46:01 | INFO | src.feature_engineer:calculate_lag_features:257 | 计算了滞后特征: 5 列 × 5 期
2026-04-02 19:46:01 | INFO | src.feature_engineer:create_feature_matrix:345 | 特征矩阵创建完成 - 总特征数: 0
2026-04-02 19:46:09 | INFO | src.backtester:run_backtest:382 | 回测进度: 1.4% (1000/70406)
2026-04-02 19:46:17 | INFO | src.backtester:run_backtest:382 | 回测进度: 2.8% (2000/70406)
2026-04-02 19:46:26 | INFO | src.backtester:run_backtest:382 | 回测进度: 4.3% (3000/70406)
