<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.07	15:30:00	2651.292	2652.105	2644.764	2647.700	9074	0	159
2025.01.07	16:00:00	2647.631	2653.814	2646.383	2650.639	6549	0	159
2025.01.07	16:30:00	2650.668	2655.589	2648.870	2651.782	7107	0	159
2025.01.07	17:00:00	2651.825	2655.460	2651.789	2654.753	4774	0	160
2025.01.07	17:30:00	2654.789	2656.040	2650.213	2652.379	4465	0	159
2025.01.07	18:00:00	2652.408	2652.555	2649.555	2650.817	4241	0	159
2025.01.07	18:30:00	2650.854	2650.904	2647.193	2649.030	5534	0	159
2025.01.07	19:00:00	2649.090	2649.874	2646.928	2647.570	5321	0	159
2025.01.07	19:30:00	2647.611	2650.343	2647.325	2649.248	3397	0	159
2025.01.07	20:00:00	2649.298	2649.941	2647.537	2648.287	3016	0	159
2025.01.07	20:30:00	2648.330	2651.444	2647.195	2650.469	3390	0	159
2025.01.07	21:00:00	2650.501	2650.541	2649.576	2649.926	1168	0	159
2025.01.07	21:30:00	2649.963	2650.289	2647.731	2648.743	1094	0	159
2025.01.07	23:00:00	2649.303	2649.963	2648.355	2648.744	1108	0	160
2025.01.07	23:30:00	2648.721	2650.193	2648.721	2649.807	1346	0	160
2025.01.08	00:00:00	2649.817	2651.251	2648.721	2650.870	1620	0	160
2025.01.08	00:30:00	2650.904	2651.515	2650.017	2650.544	1769	0	159
2025.01.08	01:00:00	2650.586	2650.905	2647.522	2648.176	3751	0	160
2025.01.08	01:30:00	2648.161	2649.705	2647.083	2648.781	2876	0	160
2025.01.08	02:00:00	2648.779	2648.859	2647.053	2647.405	2250	0	160
2025.01.08	02:30:00	2647.404	2650.395	2645.925	2648.928	2594	0	159
2025.01.08	03:00:00	2648.932	2648.932	2646.668	2646.907	2225	0	159
2025.01.08	03:30:00	2646.925	2647.726	2645.569	2646.749	1932	0	159
2025.01.08	04:00:00	2646.728	2648.652	2646.579	2647.579	1567	0	160
2025.01.08	04:30:00	2647.539	2647.690	2645.229	2646.991	1673	0	159
2025.01.08	05:00:00	2646.998	2649.923	2646.633	2649.115	1840	0	160
2025.01.08	05:30:00	2649.115	2650.784	2648.882	2650.010	2722	0	159
2025.01.08	06:00:00	2650.065	2652.642	2648.876	2651.721	2608	0	159
2025.01.08	06:30:00	2651.761	2653.092	2650.558	2652.088	2573	0	159
2025.01.08	07:00:00	2652.078	2654.452	2651.787	2652.942	2319	0	159
2025.01.08	07:30:00	2652.980	2653.553	2651.618	2652.619	2247	0	160
2025.01.08	08:00:00	2652.651	2652.953	2649.577	2650.466	3041	0	159
2025.01.08	08:30:00	2650.447	2653.796	2649.992	2651.948	2887	0	159
2025.01.08	09:00:00	2651.910	2655.001	2651.792	2653.595	2833	0	159
2025.01.08	09:30:00	2653.592	2654.832	2652.410	2653.462	2367	0	160
2025.01.08	10:00:00	2653.534	2654.567	2652.648	2654.409	2298	0	159
2025.01.08	10:30:00	2654.447	2655.158	2653.132	2653.169	2657	0	159
2025.01.08	11:00:00	2653.129	2653.133	2648.751	2648.984	2743	0	159
2025.01.08	11:30:00	2648.987	2651.310	2647.595	2650.925	4597	0	159
2025.01.08	12:00:00	2650.839	2651.131	2645.807	2647.667	3508	0	159
2025.01.08	12:30:00	2647.696	2652.524	2647.129	2652.010	3405	0	159
2025.01.08	13:00:00	2651.961	2659.367	2651.536	2654.917	7051	0	159
2025.01.08	13:30:00	2654.863	2660.275	2652.531	2660.214	6995	0	159
2025.01.08	14:00:00	2660.184	2664.495	2660.002	2662.518	7034	0	159
2025.01.08	14:30:00	2662.442	2667.659	2660.694	2661.438	9206	0	159
2025.01.08	15:00:00	2661.350	2666.054	2659.398	2664.242	7475	0	159
2025.01.08	15:30:00	2664.276	2667.835	2663.784	2665.818	5601	0	159
2025.01.08	16:00:00	2665.840	2667.332	2662.641	2666.323	4738	0	159
2025.01.08	16:30:00	2666.369	2670.053	2664.633	2669.586	4196	0	159
2025.01.08	17:00:00	2669.625	2669.898	2662.550	2662.802	4389	0	159
2025.01.08	17:30:00	2662.765	2662.852	2649.388	2655.575	8797	0	159
2025.01.08	18:00:00	2655.624	2659.155	2654.115	2656.078	5675	0	159
2025.01.08	18:30:00	2656.115	2658.126	2651.764	2651.781	3083	0	159
2025.01.08	19:00:00	2653.750	2660.590	2653.376	2660.064	3560	0	159
2025.01.08	19:30:00	2660.019	2660.019	2656.290	2658.328	4292	0	159
2025.01.08	20:00:00	2658.362	2660.616	2658.276	2659.903	3836	0	159
2025.01.08	20:30:00	2659.913	2664.059	2659.034	2663.451	3141	0	159
2025.01.08	21:00:00	2663.483	2664.075	2662.080	2663.514	1781	0	160
2025.01.08	21:30:00	2663.510	2663.613	2660.938	2661.519	2848	0	159
2025.01.08	23:00:00	2662.413	2662.889	2662.028	2662.279	975	0	159
2025.01.08	23:30:00	2662.253	2663.211	2661.989	2662.507	1067	0	160
2025.01.09	00:00:00	2662.526	2662.850	2659.499	2660.172	1502	0	159
2025.01.09	00:30:00	2660.206	2661.244	2659.554	2659.996	1805	0	159
2025.01.09	01:00:00	2659.957	2661.361	2657.643	2657.893	3074	0	159
2025.01.09	01:30:00	2657.893	2661.143	2657.325	2658.641	2553	0	159
2025.01.09	02:00:00	2658.599	2660.140	2656.395	2656.978	2450	0	159
2025.01.09	02:30:00	2656.938	2658.807	2656.270	2658.774	2368	0	159
2025.01.09	03:00:00	2658.801	2661.136	2658.488	2660.046	2251	0	159
2025.01.09	03:30:00	2660.067	2662.148	2659.183	2659.369	1681	0	159
